Number,Name,Quantity,Cost,Price
395,"كباية ازرق 6""",2,35,40
396,منشار جبص يد بلاستيك اصفر,43,5,8
318,زاوية جبص lala,0,10,15
398,طقم كباية 9 قطع,0,10,15
399,مقص صاج ستانلي,1,11,18
400,مقص صاج بوز رفيع ,101,7.5,11
401,كرت قلم رصاص ,6,3.5,5.5
402,تنر 1 لتر ايطالي ,60,8.5,11
403,"طارة بلاستيك سكتش 4.5""",7,4,6
404,"مجراد ستانلس 5""",9,17,21
405,"مجراد ستانلس 6""",-6,19,24
406,"فرشاية 1""بلوفا",36,4.2315,7
457,فيبا فيوز 76.2 اوروبي,0,11.90055339,18
408,طقم فراشي قلم,28,5.75,10
409,"طارة بلاستيك سكتش 6""",36,6,8
225,ماكنة لزيق ,0,12,18
410,لاصق بودره 200غم ,809,7.429,18
467,"فرشاية معكوفة برغي 3""",0,12,15
411,"رول مهير 10""   25سم",318,5.71392,13
423,منشار زوايا سراقه,4,17,25
450,سبري مزيل الدهان ATC,0,12.5,15
373,مالج روبه جومي,0,12.59973552,16
451,سبري ذهبي لميع ,0,13,15
424,مجك ستيل,36,7.5,9
425,بوكسبول شفاف,48,2.8,3.5
426,خيط نيله ,58,4.5,8.5
429,برغي باخ (1000*1),16,17,20
431,رول 10سم ديكور,-12,3.5,4
420,زاوية 3م U sheetRouk,0,14,18
441,"مجراد هايد 8"" copy",0,14,20
412,اصبع سوبر  اوول Superall,0,14,18
434,  رول 10سم بشكير  DOGRU   ,10339,0.2835,2.5
290,سوبر جلو 50 غم,0,14.5,20
388,"فرشاية 3"" بلوفا",0,14.6475,21
299,"طقم Turkon ""10 ",0,14.8,18
438,"مجراد هايد 4"" copy",20,8,13
273,"مجراد 3"" هايد",0,15.99963459,25
439,"مجراد هايد 5"" copy",20,9,14
442,لاصق بودره 175 غم,1,8.77,15
443,فرشاية ديكور مربعة,110,8.66,18
444,مالج بلاستيك شفاف,265,4.5122,10
445,سني ستك للمجاري,774,1.0252,5
407,"فرشاية 4"" بلوفا",0,17.36,24
223,مطبة ديكور اسفنج كبيرة,0,17.85,35
446,فرشاية 3*12 Agron  الاصــــلي,37,9.75,18
448," مجراد 10"" هايد copy",15,19.5,25
453,فرشاية 5*15 بلوفا,17,45.1983958,55
455,طاروش قصاره,274,4,8
456,كف قصاره,6,4,8
459,رول 10سم بشكير ديكور DEKOR,16,3,3.75
460,ريشت 50م يوتا,456,3.43125,6.5
213,مقص صاج الماني,0,20,30
329,مجراد هايد معكوف,0,20.5995676,25
461,طقم مصفاة دهان (2*1) ALOFOK,1357,4.85,9
352,"مجراد 6"" هايد كعب حديد",0,21.7,28
462,فتحة صيانه 20*20  ,167,25.137,50
184,مطبة كابرس 20*20 Painto الاصلية,0,21.72992,40
463,فتحة صيانه 30*30  ,155,32.832,60
464,فتحة صيانه 40*40  ,88,41.04,80
295,معجونه جبص اخضر1 كغم,0,21.66666667,25
187,مالج  Kabriol,0,22,25
465,فتحة صيانه 50*50  ,285,48.564,90
466,فتحة صيانه 60*60    ,87,55.404,100
468,فرد سلكون عكسي جوده عاليه,11,9,18
469,كشاف لكس,63,0,50
470,فرد سلكون ماركة KAPRO,4,45,75
228,رول طراشة ابوكسي,0,23.99985008,35
430,براغي عدسة  500 (نايواني) علبة صغيره,0,25,30
472,طقم موالج حقيبه  6قطع,51,194.18,400
112,فرشاية ديكور  طلياني T,0,25,25
333,برق 1كغم,0,25,35
454,"سكتش 17 "" لجلي البلاط",0,25,35
473,مالج ملتينه 25 سم امريكي  Level5,38,16.752022,60
474,مالج ملتينه 40 سم امريكي Level5,116,23.35,80
471,براغي   1000جبص 2.5سم شارب  Sharp ,0,26,30
475,مالج ملتينه 60 سم امريكي Level5,91,32.62389,100
118,مطبة كابرس 15*15 طلياني,0,27.6,55
306,"مجراد 6"" هايد (نورستا)",0,29.25940067,38
317,ورق حف رول 120 اسود lala,0,30,50
